Nom d'affichage|Nom complet|n° affilliation|logo|flag|website|email|phone|
PMG|A.S. Pays de Montaigne et Gurçon|547583|/modules/scm/data/french/logos/pmg.webp|fr||||
Exempt|Club exempté||/modules/scm/templates/images/club.webp|||||
Alliance Dronne|Alliance de la Dronne F.C.|564522|/modules/scm/data/french/logos/alliance-dronne.webp|||||
Atur|F.C. Atur|525838|/modules/scm/data/french/logos/atur.webp|||||
Bassillac|F.C. Bassimilhacois|580587|/modules/scm/data/french/logos/bassillac.webp|||||
Beaumont|F.C. Pays Beaumontois|580643|/modules/scm/data/french/logos/beaumont.webp|||||
Beauronne|G.J. Beauronne et Dronne|560922|/modules/scm/data/french/logos/beauronne.webp|||||
Bergerac|Bergerac Perigord F.C.|563716|/modules/scm/data/french/logos/bergerac.webp|||||
Boulazac|Et.S. Boulazacois|507200|/modules/scm/data/french/logos/boulazac.webp|||||
Boe B E|Ent. Boe Bon Encontre|522239|/modules/scm/data/french/logos/boe-be.webp|||||
Champcevinel|A.S. Champcevinel|531969|/modules/scm/data/french/logos/champcevinel.webp|||||
Coulounieix|C.O. Coulounieix Chamiers|516946|/modules/scm/data/french/logos/coulounieix.webp|||||
Cours de Pile|Cours de Pile Monbazillac F.C. |564711|/modules/scm/data/french/logos/cours-de-pile.webp|||||
Ctx Pecharmant|F.C. Coteaux Pecharmant|560216|/modules/scm/data/french/logos/ctx-pecharmant.webp|||||
Ctx Dordogne|A.S. Coteaux de Dordogne|581278|/modules/scm/data/french/logos/ctx-dordogne.webp|||||
Douzillac|J.S. Douzillacoise et ludovicienne|560311|/modules/scm/data/french/logos/douzillac.webp|||||
Eymet|F.C.O. Eymetoise|551659|/modules/scm/data/french/logos/eymet.webp|||||
Faux|FC Faux|546556|/modules/scm/data/french/logos/faux.webp|||||
Gensac|AM.S. Gensac Montcaret|550080|/modules/scm/data/french/logos/gensac.webp|||||
Grignols|Ent. Grignols Villamblard|553747|/modules/scm/data/french/logos/grignols.webp|||||
La Catte|U.S. La Catte|545618|/modules/scm/data/french/logos/la-catte.webp|||||
La Force|Pays de La Force - Ginestet|560565|/modules/scm/data/french/logos/la-force.webp|||||
Monteil|F.R. Monteil|512613|/modules/scm/data/french/logos/monteil.webp|||||
Montignac|Esp.S. Montignacoise|507153|/modules/scm/data/french/logos/montignac.webp|||||
Montpon|Montpon Menesplet F.C.|553247|/modules/scm/data/french/logos/montpon.webp|||||
Lalinde|F.C. Lalinde Couze Sauveboeuf|580848|/modules/scm/data/french/logos/lalinde.webp|||||
Limeuil|F.C. Limeuil|528532|/modules/scm/data/french/logos/limeuil.webp|||||
Meyrals|U.S. Les Coquelicots de Meyrals|528308|/modules/scm/data/french/logos/meyrals.webp|||||
Mussidan|U.S. Mussidan St Medard|513424|/modules/scm/data/french/logos/mussidan.webp|||||
Naussannes|Ent. Naussannes Ste Sabine|542360|/modules/scm/data/french/logos/naussannes.webp|||||
Neuvic|A.S. Neuvic St Léon|542329|/modules/scm/data/french/logos/neuvic.webp|||||
Nontron|Ent. Nontron St Pardoux|590252|/modules/scm/data/french/logos/nontron.webp|||||
Pays D'Eyraud|Pays de l'Eyraud|553735|/modules/scm/data/french/logos/pays-d-eyraud.webp|||||
Pays du dropt|A.S.S.A Pays du dropt|540445|/modules/scm/data/french/logos/pays-du-dropt.webp|||||
Périgord Blanc|G.J. Périgord Blanc|561171|/modules/scm/data/french/logos/perigord-blanc.webp|||||
Périgord centre|F.C. Périgord Centre|560527|/modules/scm/data/french/logos/perigord-centre.webp|||||
Périgord Sud|G.J. Périgord Sud|564609|/modules/scm/data/french/logos/perigord-sud.webp|||||
Périgueux Foot|Périgueux Foot|547084|/modules/scm/data/french/logos/perigueux-foot.webp|||||
Prigonrieux|Prigonrieux F.C.|524054|/modules/scm/data/french/logos/prigonrieux.webp|||||
St Émilion|F.C. du Grand Saint Émilionnais|580630|/modules/scm/data/french/logos/st-emilion.webp|||||
St Seurin|R.C. de l'Isle|564642|/modules/scm/data/french/logos/st-seurin.webp|||||
Sanilhac|Sp.A. Sanilhacois|524990|/modules/scm/data/french/logos/sanilhac.webp|||||
Sarlat|F.C. Sarlat Marcillac|550818|/modules/scm/data/french/logos/sarlat.webp|||||
Stella|Stella J Bergerac|550170|/modules/scm/data/french/logos/stella.webp|||||
Tocane|U.S. Tocane St Apre|518053|/modules/scm/data/french/logos/tocane.webp|||||
