Nom d'affichage|Nom complet|district|n° affilliation|website|email|phone
Arsenal|Arsenal FC|fe
Chelsea|Chelsea FC|fe
Newcastle|Newcastle United|fe
ManCity|Manchester City|fe
ManU|Manchester United|fe
Aston Villa|Aston Villa|fe
Liverpool|Liverpool FC|fe
Tottenham|Tottenham Hotspur|fe

Inter|Inter Milan|it
Naples|SSC Naples|it
Rome|AS Rome|it
Côme|Côme 1907|it
Atalanta|Atalanta Bergame|it
Juventus|Juventus FC|it

Barcelone|FC Barcelone|es
Madrid|Real Madrid|es
Villareal|Villareal CF|es
Atlético|Atlético de Madrid|es
Betis|Real Betis de Séville|es
Bilbao|Athletic Club de Bilbao|es

Bayern|Bayern Munich|de
Dortmund|Borussia Dortmund|de
Leipzig|RB Leipzig|de
Stuttgart|VfB Stuttgart|de
Leverkusen|Bayer Leverkusen|de
Francfort|Eintracht Francfort|de

PSG|Paris Saint Germain|fr
Lens|RC Lens|fr
Lille|Lille OSC|fr
Marseille|Olympique de Marseille|fr
Monaco|AS Monaco|fr
Lyon|Olympique Lyonnais|fr

Eindhoven|PSV Eindhoven|nl
Rotterdam|Feyenord Rotterdam|nl
Amsterdam|Ajax Amsterdam|nl

Porto|FC Porto|pt
Sporting|Sporting C Portugal|pt
Benfica|Sporting Lisboa e Benfica|pt

Bruges|FC Bruges|be
Union|Union Saint Gilloise|be

Copenhague|FC Copenhague|dk

Qarabag| Qarabag FK|az

Pafos|Pafos FC|cy

Kairat Almati|Kairat Almati FK|kz

Prague|Slavia Pargue|cz

Galatasaray|Galatasaray SK|tr

Donetsk|Chakthar Donetsk|ua

Olympiakos|Olympiakos du Pirée|gr

Bode Glimt|FK Bode Glimt|no
